IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.95.140,2053,2053,true,SIN,Asia Pacific,Singapore,63,4.18
47.237.10.1,2053,2053,true,SIN,Asia Pacific,Singapore,106,4.18
8.219.177.205,2096,2096,true,SIN,Asia Pacific,Singapore,54,4.18
47.254.236.28,80,443,true,SIN,Asia Pacific,Singapore,18,4.18
47.243.203.119,8443,8443,true,HKG,Asia Pacific,Hong Kong,65,4.18
8.222.249.190,2087,2087,true,SIN,Asia Pacific,Singapore,87,4.18
8.218.143.10,2096,2096,true,HKG,Asia Pacific,Hong Kong,65,4.17
47.242.202.230,8443,8443,true,HKG,Asia Pacific,Hong Kong,100,4.17
47.236.232.148,2096,2096,true,SIN,Asia Pacific,Singapore,68,4.17
8.219.200.145,2083,2083,true,SIN,Asia Pacific,Singapore,64,4.16
47.238.164.202,443,443,true,HKG,Asia Pacific,Hong Kong,111,4.16
47.238.235.163,443,443,true,HKG,Asia Pacific,Hong Kong,44,4.16
47.76.192.24,2053,2053,true,HKG,Asia Pacific,Hong Kong,62,4.16
8.219.201.8,2053,2053,true,SIN,Asia Pacific,Singapore,94,4.15
8.222.137.192,2087,2087,true,SIN,Asia Pacific,Singapore,79,4.15
47.76.227.40,2096,2096,true,HKG,Asia Pacific,Hong Kong,40,4.15
8.218.85.128,2096,2096,true,HKG,Asia Pacific,Hong Kong,57,4.15
8.218.126.53,2096,2096,true,HKG,Asia Pacific,Hong Kong,137,4.14
8.219.67.133,2083,2083,true,SIN,Asia Pacific,Singapore,78,4.13
8.219.193.202,2053,2053,true,SIN,Asia Pacific,Singapore,108,4.13
8.219.199.220,2053,2053,true,SIN,Asia Pacific,Singapore,62,4.12
8.210.146.108,2053,2053,true,HKG,Asia Pacific,Hong Kong,61,4.11
47.243.183.127,2096,2096,true,HKG,Asia Pacific,Hong Kong,53,4.11
8.217.250.222,8443,8443,true,HKG,Asia Pacific,Hong Kong,85,4.10
8.219.189.143,2083,2083,true,SIN,Asia Pacific,Singapore,87,4.10
8.210.192.93,2096,2096,true,HKG,Asia Pacific,Hong Kong,91,4.10
8.219.201.8,8443,8443,true,SIN,Asia Pacific,Singapore,81,4.10
8.219.78.188,2083,2083,true,SIN,Asia Pacific,Singapore,78,4.10
47.237.94.140,8443,8443,true,SIN,Asia Pacific,Singapore,134,4.10
47.76.32.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,111,4.09
47.243.186.171,2096,2096,true,HKG,Asia Pacific,Hong Kong,69,4.09
8.219.68.162,443,443,true,SIN,Asia Pacific,Singapore,56,4.09
8.219.106.156,2096,2096,true,SIN,Asia Pacific,Singapore,85,4.08
8.218.85.128,2083,2083,true,HKG,Asia Pacific,Hong Kong,65,4.08
47.236.232.148,8443,8443,true,SIN,Asia Pacific,Singapore,85,4.08
47.243.27.217,8443,8443,true,HKG,Asia Pacific,Hong Kong,53,4.07
8.219.237.250,2096,2096,true,SIN,Asia Pacific,Singapore,85,4.06
8.222.208.38,443,443,true,SIN,Asia Pacific,Singapore,113,4.06
47.236.80.110,8443,8443,true,SIN,Asia Pacific,Singapore,112,4.06
47.243.203.119,2053,2053,true,HKG,Asia Pacific,Hong Kong,49,4.06
47.236.75.152,2053,2053,true,SIN,Asia Pacific,Singapore,74,4.05
47.243.173.187,2083,2083,true,HKG,Asia Pacific,Hong Kong,61,4.05
8.219.49.65,8443,8443,true,SIN,Asia Pacific,Singapore,80,4.04
47.245.86.230,2083,2083,true,SIN,Asia Pacific,Singapore,60,4.04
8.219.193.202,2083,2083,true,SIN,Asia Pacific,Singapore,59,4.04
8.219.201.8,443,443,true,SIN,Asia Pacific,Singapore,80,4.03
47.236.85.11,8443,443,true,SIN,Asia Pacific,Singapore,63,4.03
47.243.169.63,2083,2083,true,HKG,Asia Pacific,Hong Kong,60,4.03
47.237.14.220,8443,8443,true,SIN,Asia Pacific,Singapore,65,4.03
47.76.249.116,80,443,true,SIN,Asia Pacific,Singapore,51,4.02
47.243.183.127,2083,2083,true,HKG,Asia Pacific,Hong Kong,42,4.02
47.238.36.250,80,443,true,KUL,Asia Pacific,Kuala Lumpur,106,4.02
47.238.35.50,8443,8443,true,HKG,Asia Pacific,Hong Kong,99,4.02
8.219.106.156,8443,8443,true,SIN,Asia Pacific,Singapore,84,4.02
47.237.121.38,2083,2083,true,SIN,Asia Pacific,Singapore,59,4.02
8.219.237.250,2053,2053,true,SIN,Asia Pacific,Singapore,76,4.01
47.236.253.41,8443,8443,true,SIN,Asia Pacific,Singapore,75,4.01
8.219.199.220,2083,2083,true,SIN,Asia Pacific,Singapore,88,4.00
47.238.44.224,80,443,true,SIN,Asia Pacific,Singapore,33,4.00
8.210.203.7,2053,2053,true,HKG,Asia Pacific,Hong Kong,56,4.00
8.219.198.34,2083,2083,true,SIN,Asia Pacific,Singapore,84,4.00
8.218.126.53,8443,8443,true,HKG,Asia Pacific,Hong Kong,90,3.99
8.222.187.4,8443,8443,true,SIN,Asia Pacific,Singapore,47,3.98
47.76.29.115,2087,2087,true,HKG,Asia Pacific,Hong Kong,84,3.98
47.243.139.243,2087,2087,true,HKG,Asia Pacific,Hong Kong,91,3.98
8.218.211.124,80,443,true,SIN,Asia Pacific,Singapore,79,3.98
8.219.191.110,2053,2053,true,SIN,Asia Pacific,Singapore,49,3.97
47.236.17.193,2083,2083,true,SIN,Asia Pacific,Singapore,63,3.97
8.218.132.209,80,443,true,SIN,Asia Pacific,Singapore,82,3.97
8.218.146.204,2083,2083,true,HKG,Asia Pacific,Hong Kong,92,3.97
8.210.192.93,2083,2083,true,HKG,Asia Pacific,Hong Kong,68,3.95
8.222.215.228,2083,2083,true,SIN,Asia Pacific,Singapore,111,3.95
47.76.26.26,8443,8443,true,HKG,Asia Pacific,Hong Kong,124,3.95
8.210.244.38,2083,2083,true,HKG,Asia Pacific,Hong Kong,42,3.95
47.76.222.57,2096,2096,true,HKG,Asia Pacific,Hong Kong,42,3.94
8.219.153.237,8443,8443,true,NRT,Asia Pacific,Tokyo,157,3.94
8.210.146.108,2083,2083,true,HKG,Asia Pacific,Hong Kong,44,3.93
8.219.132.64,8443,8443,true,SIN,Asia Pacific,Singapore,89,3.92
47.242.119.104,2087,2087,true,HKG,Asia Pacific,Hong Kong,88,3.92
47.76.243.157,80,443,true,SIN,Asia Pacific,Singapore,40,3.92
47.76.255.235,80,443,true,SIN,Asia Pacific,Singapore,57,3.92
47.76.255.235,80,443,true,SIN,Asia Pacific,Singapore,41,3.91
47.238.255.53,80,443,true,KUL,Asia Pacific,Kuala Lumpur,103,3.91
47.238.3.10,80,443,true,SIN,Asia Pacific,Singapore,117,3.91
47.238.48.58,80,443,true,SIN,Asia Pacific,Singapore,118,3.90
47.237.0.31,2053,2053,true,SIN,Asia Pacific,Singapore,97,3.90
47.239.13.168,80,443,true,SIN,Asia Pacific,Singapore,94,3.90
8.218.142.253,2053,2053,true,HKG,Asia Pacific,Hong Kong,56,3.90
47.238.50.221,80,443,true,SIN,Asia Pacific,Singapore,125,3.90
47.243.139.243,8443,8443,true,HKG,Asia Pacific,Hong Kong,59,3.90
47.243.60.150,2087,2087,true,HKG,Asia Pacific,Hong Kong,55,3.90
47.238.36.145,80,443,true,KUL,Asia Pacific,Kuala Lumpur,102,3.90
47.243.27.217,2053,2053,true,HKG,Asia Pacific,Hong Kong,53,3.89
8.210.48.107,2087,2087,true,HKG,Asia Pacific,Hong Kong,50,3.89
47.76.203.101,2087,2087,true,HKG,Asia Pacific,Hong Kong,91,3.89
47.74.4.97,443,443,true,NRT,Asia Pacific,Tokyo,68,3.88
47.76.29.115,2096,2096,true,HKG,Asia Pacific,Hong Kong,105,3.88
47.245.86.230,2096,2096,true,SIN,Asia Pacific,Singapore,44,3.88
