IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.90.154.70,443,443,true,FRA,Europe,Frankfurt,194,5.53
35.204.163.10,443,443,true,FRA,Europe,Frankfurt,268,5.53
34.154.78.70,443,443,true,FRA,Europe,Frankfurt,190,5.53
34.118.105.94,443,443,true,FRA,Europe,Frankfurt,326,5.53
34.141.101.125,443,443,true,FRA,Europe,Frankfurt,258,5.52
35.198.77.179,443,443,true,FRA,Europe,Frankfurt,258,5.52
34.34.111.163,443,443,true,FRA,Europe,Frankfurt,267,5.52
34.90.31.179,443,443,true,FRA,Europe,Frankfurt,270,5.51
34.118.97.155,443,443,true,FRA,Europe,Frankfurt,251,5.51
34.154.127.37,443,443,true,FRA,Europe,Frankfurt,266,5.51
34.107.110.99,443,443,true,FRA,Europe,Frankfurt,345,5.50
34.91.116.225,443,443,true,FRA,Europe,Frankfurt,273,5.50
34.107.46.133,443,443,true,FRA,Europe,Frankfurt,310,5.50
34.154.207.144,443,443,true,FRA,Europe,Frankfurt,263,5.48
34.141.31.237,443,443,true,FRA,Europe,Frankfurt,264,5.47
34.154.107.139,443,443,true,FRA,Europe,Frankfurt,257,5.47
34.159.180.20,443,443,true,FRA,Europe,Frankfurt,251,5.47
34.65.170.102,443,443,true,FRA,Europe,Frankfurt,262,5.45
34.116.176.20,443,443,true,FRA,Europe,Frankfurt,302,5.45
34.65.152.92,443,443,true,FRA,Europe,Frankfurt,195,5.44
34.159.78.70,443,443,true,FRA,Europe,Frankfurt,256,5.44
34.107.17.54,443,443,true,FRA,Europe,Frankfurt,289,5.44
34.116.198.179,443,443,true,FRA,Europe,Frankfurt,254,5.43
34.90.246.126,443,443,true,FRA,Europe,Frankfurt,267,5.43
34.116.183.48,443,443,true,FRA,Europe,Frankfurt,316,5.43
34.65.67.163,443,443,true,FRA,Europe,Frankfurt,262,5.41
35.246.170.124,443,443,true,FRA,Europe,Frankfurt,286,5.39
34.107.35.81,443,443,true,FRA,Europe,Frankfurt,262,5.38
34.116.138.28,443,443,true,FRA,Europe,Frankfurt,321,5.37
34.154.141.188,443,443,true,FRA,Europe,Frankfurt,256,5.37
34.154.200.20,443,443,true,FRA,Europe,Frankfurt,267,5.36
34.118.122.49,443,443,true,FRA,Europe,Frankfurt,322,5.36
34.154.212.32,443,443,true,FRA,Europe,Frankfurt,255,5.35
34.65.139.231,443,443,true,FRA,Europe,Frankfurt,260,5.34
34.89.179.31,443,443,true,FRA,Europe,Frankfurt,253,5.34
34.91.83.22,443,443,true,FRA,Europe,Frankfurt,263,5.33
34.65.137.39,443,443,true,FRA,Europe,Frankfurt,265,5.32
34.91.120.132,443,443,true,FRA,Europe,Frankfurt,270,5.31
34.116.254.70,443,443,true,FRA,Europe,Frankfurt,344,5.30
34.65.67.163,443,443,true,FRA,Europe,Frankfurt,259,5.30
34.32.237.101,443,443,true,FRA,Europe,Frankfurt,270,5.28
35.204.49.26,443,443,true,FRA,Europe,Frankfurt,260,5.28
34.89.156.78,443,443,true,FRA,Europe,Frankfurt,256,5.27
34.118.32.217,443,443,true,FRA,Europe,Frankfurt,341,5.25
34.154.184.249,443,443,true,FRA,Europe,Frankfurt,262,5.25
34.90.162.120,443,443,true,FRA,Europe,Frankfurt,257,5.24
